Price,Distance,Rooms
1520000,6.8,3
1621000,6.8,3
1670000,4.6,2
652000,4.6,2
660000,25.5,4
567500,25.5,4
472500,25.5,3
,27.2,5
380000,27.2,3
,6.3,2
1381000,6.3,3
,6.3,3
607500,6.3,2
1120000,6.3,3
802000,6.3,2
1550000,6.3,6
1350000,3,3
858000,10.4,3
593000,10.4,2
640000,10.4,3
961000,10.4,3
1535000,3,2
570000,10.5,3
2345000,5.7,4
,5.7,4
,15.5,3
900000,9.4,3
,9.4,3
650000,9.4,2
480000,12.8,2
5200000,6.3,5
950000,4.3,3
,4.3,4
1225000,10.2,3
1025000,16.5,5
622000,9.5,3
825000,9.5,3
1475000,7.9,4
3050000,7.9,5
,9.7,4
2160000,9.7,5
1050000,9.7,3
,9.7,6
1275000,9.7,3
640000,23.2,3
500000,23.2,3
825000,23.2,4
,17.3,1
800000,17.3,2
1221000,17.3,4
1800000,17.3,4
,17.3,5
1823000,17.3,4
2000000,17.3,6
1365000,11.4,3
1045000,11.4,3
1220000,13.8,5
627500,35.2,4
1095000,13.4,3
,13.4,4
1020000,13.4,3
,13.4,3
642000,25,3
840000,16.1,3
2650000,10.5,3
380000,10.5,1
3250000,10.5,5
1731000,10.3,4
465000,14,3
518500,14,3
665000,6.4,3
692000,5.2,2
1305000,4,2
,5.2,3
1100000,5.2,3
573000,5.2,2
1060000,10.8,3
,12.1,4
805000,12.1,3
682000,12.1,3
510000,12.1,3
535000,14.8,3
1088000,14.7,4
1180000,14.7,3
630000,14.8,3
677000,7.7,2
,7.7,3
670000,7.7,2
1320000,7.7,3
816000,8.4,2
350000,1.6,1
620000,1.6,2
1760000,1.6,3
300000,10.1,1
545000,14.8,3
1800000,8.7,4
1091500,8.7,2
,11.7,3
1140000,17.9,5
950000,17.9,3
1171000,17.9,2
425000,17.9,2
1116000,17.9,3
,17.5,3
,16.7,3
,16.7,4
1030000,3.6,3
689000,43.4,4
900000,6.7,2
620000,6.7,2
922000,6.7,4
,6.7,3
1077000,6.7,3
800000,6.7,4
805000,6.7,3
665000,20.6,4
607000,20.6,4
515500,20.6,3
509500,20.6,4
660000,20.6,3
572000,34.7,5
932000,23,4
566100,23,2
570000,23,2
875000,23,4
,23,3
810000,23,4
585000,24.7,3
348000,24.7,2
627000,24.7,3
760000,24.7,3
621000,21.8,2
612000,22.2,2
840000,12.4,3
945000,12.4,3
1856000,14.3,6
2705000,16.1,7
818000,16.1,3
852000,16.1,3
530500,25.9,3
,8.9,4
,1.3,2
1092000,27,3
975000,18,3
805000,18,3
770000,18,4
,18,2
,7.2,2
,7.2,2
425000,7.2,1
,7.2,2
,36.9,3
,19.6,3
940000,19.6,4
437000,19.6,2
660000,19.6,5
1325000,7.5,3
310000,7.5,1
864000,7.5,3
291000,7.5,1
750000,7.5,3
,7.5,4
2200000,7.5,5
515000,28.8,3
580000,28.8,3
1550000,5.7,3
672000,13.1,2
720000,13.1,3
414000,24.8,2
1350000,3.6,2
1852000,3.6,3
1100000,3.6,2
,5.1,2
815000,5.1,3
170000,5.1,1
1372000,15.4,4
850500,15.4,3
400000,38,2
640000,38,3
,38,3
611000,36.9,3
,38,3
755000,38,3
521000,45.9,4
625000,12.9,3
650000,12.9,3
1910000,7.3,4
1900000,7.3,3
500000,7.3,2
523000,7.3,2
,16.7,4
1250000,16.7,4
,16.7,3
,16.7,3
460000,11.2,2
600000,11.2,3
595000,11.2,3
,11.2,3
525000,11.2,3
847000,11.2,3
990000,16.1,6
645000,16.1,3
880000,16.1,3
695000,16.1,2
630000,20.4,3
,20.4,5
500000,11.2,2
662500,32.3,3
1210000,13.8,3
1910000,13.8,3
,13.8,3
1140000,13.8,3
,13.8,3
,5.3,2
395000,5.3,1
1000000,5.3,3
450000,5.3,2
2900000,5.3,4
820000,5.3,2
450000,5.3,2
650000,45.2,3
,21.3,3
,21.3,5
,21.3,4
,21.3,4
,8.9,3
790000,8.8,3
780000,8.8,2
726500,8.8,3
710000,8.8,3
,16,2
,16,2
645000,16,2
650500,18,5
471000,18.4,3
683000,18.4,3
440000,18.4,3
,18.4,4
750000,12.3,3
,7.8,4
,7.8,4
650000,14,4
390000,14,2
506000,15.5,3
810000,15.5,3
735000,15.5,3
595000,15.5,3
605000,15.5,3
520000,11.7,2
640000,15.5,4
967000,3.4,3
850000,3.4,2
500000,3.4,1
535000,3.4,2
758000,5.4,2
,5.4,3
975000,5.4,3
862000,7.3,2
965000,25.2,4
761000,25.2,4
520000,14,3
530000,14,3
,12.1,2
1020000,6.4,3
210000,6.4,1
750000,16.3,4
635000,16.3,3
410000,16.3,2
675000,16.3,5
880000,14.6,5
597500,33.8,3
640000,12.7,3
280000,6.4,1
520000,6.4,2
895000,6.4,3
660000,6.4,3
,8.4,3
2110000,8.4,3
,8.4,4
1050000,4.3,3
,4.3,2
,4.3,2
320000,31.7,4
480000,31.7,3
365000,29.8,3
,31.7,3
705000,20,2
670000,25.9,4
,25.9,4
520500,25.9,4
,20.6,4
460000,17.9,2
610000,17.9,3
950000,17.2,3
715000,17.2,3
970000,17.2,3
2200000,10.2,5
2320000,10.2,4
2752000,10.2,4
655000,16.2,3
960000,16.2,3
,28.8,3
1810000,6.2,4
1020000,6.2,2
1250000,6.2,2
1175000,14.3,3
800000,21.5,4
1225000,21.5,4
1200000,14.2,6
,14.2,5
1205000,14.2,3
1720000,14.2,4
1600000,14.2,5
944000,14.2,3
1385000,14.2,3
1280000,14.2,3
2000000,14.2,3
,18.8,5
650000,34.1,3
655000,34.1,3
580000,34.1,3
710000,6.2,2
335000,6.2,2
1330000,6.2,3
466500,22.7,2
,22.7,4
550000,1.8,2
962000,1.8,2
936000,1.8,2
580000,1.8,2
1900000,5.3,4
1605000,5.3,3
1415000,5.3,3
390000,5.3,2
637000,15.4,2
1100000,15.4,4
926000,15.4,3
610000,11.2,2
700000,11.2,3
1525000,12.3,5
1900000,12.3,6
,15.5,3
,15.5,3
,15.5,3
454000,11.4,1
562000,11.4,2
1000000,21.5,3
985000,21.5,3
820000,21.5,3
870000,8.5,3
800000,8.5,3
1501000,8.5,5
,8.5,3
1663000,8.5,3
780000,8.5,4
,14.7,4
660000,14.7,5
,14.7,4
,14.7,4
663500,14.7,4
1631000,3.5,3
1665000,3.5,3
2450000,3.5,4
399000,4.6,1
1240000,4.6,2
727500,8.4,3
,8.4,3
965000,8.4,3
2530000,3.5,2
1930000,3.5,3
840000,12,3
560000,12,2
,12,1
900000,12,4
680500,12,3
902000,12,4
825000,12,3
801000,12,3
668500,12,2
1165000,2.4,2
390000,2.4,1
890500,2.4,2
,2.4,2
1310000,2.4,3
458000,2.4,1
1442000,2.4,2
2200000,2.4,4
,19.9,4
750000,19.9,3
,19.9,2
,19.9,4
560000,21.3,2
340000,23.8,2
1101000,8.9,3
,23.5,5
870000,23.5,5
,23.5,4
420000,20.6,3
643500,15.2,2
625000,15.5,3
610000,35.4,3
565000,35.4,3
572000,35.4,3
1090000,11,4
455000,11,2
750000,5.1,2
850000,5.1,2
640000,34.7,4
,1.9,2
1030000,1.9,2
600000,20.5,4
,20.5,4
,20.5,4
386000,20.5,3
857000,2.7,2
,2.7,2
1160000,2.7,2
,2.7,1
1235000,2.7,3
752500,20.8,3
,20.8,3
,22.2,3
565000,14,3
500000,14,3
610000,14,3
445000,14,2
,14,3
801000,16.1,4
350000,5,1
525000,5,2
517500,5,1
365000,5,2
460000,5,2
1725000,8.2,4
646000,8.2,2
1190000,8.2,4
635500,8.2,2
580000,31.7,4
413000,31.7,3
420000,31.7,3
650000,31.7,3
525000,10.5,3
780000,10.5,3
765000,10.5,4
1420000,10.2,4
2100000,10.2,3
1385000,10.2,3
417000,18,2
,18,3
810000,18.4,4
451500,18.4,3
526000,18.4,3
605500,18,4
500000,15.5,3
427500,15.5,3
,30.4,3
855000,30.4,4
,15.5,2
,12.4,3
1705000,12.4,5
551200,27,3
,15.3,5
,15.3,2
542000,15.3,3
,15.3,3
,15.3,3
2070000,7,4
2800000,4.1,6
385000,18.4,2
500000,12.9,3
,12.9,3
821000,12.9,4
917000,17.2,3
,17.2,4
1115000,8.9,4
905000,8.9,3
,8.9,3
450000,14.7,2
1015000,14.7,3
,14.7,5
,14.7,4
510000,14.7,3
645000,14.7,4
427000,14.7,3
600000,14.7,3
355000,14.7,2
845000,6.4,3
876000,6.4,2
,3.1,3
578000,16.5,3
510000,17.6,4
390000,25.5,2
525000,25.5,4
480000,27.2,3
471100,27.2,3
1000000,6.3,4
1240000,6.3,3
1115000,6.3,3
,3,3
750000,10.4,3
685000,10.4,3
,14,3
,3,3
,10.5,2
520000,5.7,2
,9.4,3
,9.4,3
1015000,4.3,2
1450000,10.2,4
,10.2,4
,10.2,4
,10.2,4
800000,21.5,3
1034000,21.5,4
1410000,7.9,3
1500000,7.9,3
,7.9,2
2740000,9.7,4
815000,9.7,2
,9.7,5
580000,23.2,2
618000,23.2,3
830000,17.3,2
1400000,17.3,4
1200000,17.3,4
1400000,17.3,3
2305000,17.3,4
,8.8,3
1710000,11.4,3
,11.4,4
1380000,11.4,3
1280000,11.4,3
1900000,11.4,4
2645000,11.4,5
892500,13.8,3
1235000,13.8,3
1145000,13.8,4
1000000,13.8,3
1205000,13.8,4
900000,13.8,4
1000000,13.8,4
,13.8,3
,13.8,3
1345000,13.8,4
1260000,13.8,4
1125000,13.8,3
,17.3,4
842000,17.3,2
689000,13.4,2
890000,13.4,3
860000,13.4,3
,13.4,3
,13.4,2
980000,13.4,4
1410000,10.9,8
765000,8.6,2
800000,8.6,2
630000,16.1,2
1086000,10.5,2
,10.5,3
,10.5,2
,10.3,4
1550000,10.3,4
2800000,10.3,4
,5.2,3
,5.2,3
850000,5.2,2
880000,5.2,2
1100000,5.2,3
700000,5.2,2
705000,5.2,2
,4,1
640000,5.2,2
1450000,5.2,4
1100000,5.2,2
880000,5.2,3
502000,5.2,2
475000,5.2,2
1220000,10.8,4
1300000,10.8,4
1241000,10.8,4
800500,12.1,4
730000,12.1,3
631000,12.1,3
1300000,12.1,4
,12.1,3
1195000,10.4,3
860000,10.4,3
900000,14.7,3
1080000,14.7,3
,7.7,6
1100000,7.7,2
,8.4,2
800000,1.6,3
710000,1.6,2
1650000,1.6,3
1500000,3.5,2
,8.7,4
1100000,8.7,3
1250000,8.7,3
1175000,17.9,3
736000,17.9,3
1450000,16.7,3
850000,17.5,3
1580000,3.6,3
1250000,6.7,5
650000,6.7,3
930000,6.7,3
860000,6.7,3
777500,6.7,3
790000,6.7,5
,6.7,2
560000,20.6,3
460000,20.6,3
506000,20.6,4
410000,20.6,3
,20.6,3
,20.6,5
535000,20.6,3
562000,20.6,4
,34.7,3
780000,23,3
,14,3
600000,14,4
640000,24.7,4
,14.8,3
550000,18,3
708000,22.2,3
,12.4,4
1550000,12.4,4
745000,14.3,2
1575000,14.3,4
1146000,14.3,3
515000,25.9,3
1560000,8.9,4
840000,27,3
,7.2,3
870000,18,4
820000,18,4
,18,5
420000,7.2,1
648500,7.2,1
,7.2,1
985000,7.2,2
565000,19.6,4
485000,7.5,2
2140000,7.5,4
1170000,7.5,3
1350000,7.5,3
1900000,7.5,4
,8.2,3
1450000,7.5,4
460000,7.5,2
,7.5,3
,5.7,3
1510000,5.7,4
630000,13.1,3
950000,13.1,2
721000,24.8,4
,24.8,3
,2.1,3
1252500,2.1,3
,3.6,5
1540000,3.6,2
1757000,3.6,3
347000,3.4,1
755000,15.4,3
,15.4,3
,38,3
,38,3
,7.2,4
598000,12.9,3
377000,7.3,1
2301000,7.3,3
640000,7.3,2
1200000,7.3,3
2255000,7.3,3
,16.7,4
1660000,16.7,4
2080000,16.7,3
1327000,16.7,4
2121800,16.7,5
,16.7,3
1450000,16.7,5
,16.7,2
1185000,16.7,4
750000,11.2,3
702500,11.2,3
580000,11.2,3
500000,11.2,2
,11.2,2
,16.1,3
670000,20.4,4
1730000,20.4,5
,11.2,2
795000,11.2,3
757000,11.2,3
1230000,13.8,3
880000,13.8,3
1550000,13.8,3
1900000,13.8,3
1855000,13.8,4
,13.8,5
,13.8,3
,13.8,4
650000,5.3,2
,5.3,3
5000000,5.3,6
935000,5.3,2
,6.2,3
2850000,6.2,3
,6.2,5
918000,21.3,4
810000,8.8,3
650000,8.8,2
675000,8.8,2
690000,8.8,3
1320000,16,3
820000,16,2
,16,3
,16,3
1350000,18,4
590000,18.4,4
1280000,7.8,3
1060000,7.8,2
835000,7.8,3
,7.8,2
,7.8,3
1950000,7.8,5
1800000,7.8,4
479000,14,3
640000,14,4
1360000,14.5,5
720000,15.5,3
,15.5,3
,11.7,5
750500,11.7,2
770000,10.4,5
,5.4,3
1900000,5.4,4
,5.4,3
1482000,5.4,4
,7.3,5
2130000,7.3,4
1850000,7.3,4
880000,25.2,4
620500,14,6
900000,6.4,3
1370000,6.4,3
890000,6.4,3
870500,23.3,3
640000,16.3,3
650000,16.3,3
661100,16.3,3
658500,14.6,3
468000,6.4,2
785000,6.4,3
2700000,5.9,4
,5.9,3
781000,5.9,2
1700000,8.4,4
1750000,8.4,4
1160000,8.4,4
1320000,4.3,4
1320000,0,2
,0,1
753000,0,3
,0,2
452000,0,2
1020000,20,4
370000,20,1
,20,3
800000,20,3
1160000,20,3
890000,20,3
507500,25.9,3
853000,25.9,4
533000,25.9,3
520000,25.9,4
546000,25.9,3
535000,25.9,4
522000,25.9,3
,3,3
670500,17.9,3
710000,17.9,4
707000,17.9,3
450000,17.9,2
632000,17.9,3
690000,17.9,3
932000,17.2,4
,16.2,3
900000,16.2,3
,16.2,3
,6.2,4
830000,6.2,2
1475000,6.2,3
2000000,6.2,4
1300000,6.2,4
1200000,14.3,3
1100000,14.3,3
,14.3,3
,14.2,5
1270000,14.2,5
1210500,14.2,3
1200000,14.2,4
1420000,14.2,5
1235000,14.2,4
898000,18.8,4
857000,18.8,3
570000,10.1,3
620000,10.1,2
915000,6.2,3
1185000,10.4,3
,10.4,3
,10.4,3
,22.7,3
1050000,1.8,3
,5.3,1
540000,5.3,2
1500000,5.3,3
2405500,5.3,4
,15.4,4
750000,15.4,3
,11.2,3
950000,12.3,3
990000,12.3,4
1180000,12.3,4
670000,15.5,2
2475000,11.4,4
1366000,11.4,4
790000,11.4,2
,21.5,3
1170000,21.5,4
487000,21.5,2
860000,8.5,3
558000,8.5,2
770000,8.5,3
,14.7,3
640000,14.7,3
715000,14.7,3
,14.7,3
,14.7,4
,3.5,1
1660000,3.5,3
512500,4.6,2
1560000,4.6,2
,4.6,1
1935000,4.6,4
1592500,4.6,2
,4.6,2
1700000,4.6,3
975000,8.4,2
695000,8.4,3
,8.4,3
1262500,8.4,4
895000,12,3
710000,12,3
675000,12,3
522000,12,2
,12,4
681000,12,3
970000,12,3
1760000,2.4,3
,2.4,3
917500,2.4,2
,2.4,4
,2.4,1
1500000,2.4,3
,2.4,2
455000,2.4,1
,19.9,4
,21.3,3
,8.9,2
1380000,8.9,5
640000,20.6,5
547000,20.6,3
,20.6,3
,15.2,2
1340000,5.1,4
2600000,1.9,2
875000,1.9,2
1200000,1.9,4
698500,1.9,2
1465000,1.9,3
647500,20.5,3
572000,20.5,4
645000,20.5,4
,2.7,3
570000,2.7,2
2700000,2.7,4
1456000,2.7,8
,2.7,2
2100000,2.7,4
3875000,2.7,3
,0.7,2
,20.8,2
,22.2,3
1600000,5,3
520000,5,2
441000,5,1
,5,1
1500000,8.2,3
,31.7,3
700000,10.5,3
760000,10.5,4
735000,10.5,4
620000,10.5,3
683000,10.2,3
,10.2,3
3100000,10.2,5
1600000,10.2,3
2425000,10.2,5
,10.2,3
1000000,10.2,2
2200000,10.2,4
,10.2,4
655000,18,4
405000,18,2
550000,18.4,3
570000,18.4,4
413500,18.4,3
620000,15.5,3
780000,15.5,4
621000,15.5,3
1810000,15.5,4
1140000,12.4,4
1020000,12.4,4
1500000,12.4,4
950000,12.4,4
,15.3,3
770000,15.3,4
1410000,7,4
830000,7,2
,7,3
875000,7,3
,7,1
,7,3
1000000,7,3
3680000,4.1,3
6700000,4.1,5
,4.1,2
,4.1,3
,4.1,3
2130000,4.1,3
,17.2,3
,17.2,4
890000,14.7,4
,14.7,4
490000,14.7,2
625000,14.7,3
1075000,6.4,4
800000,3.1,2
648500,16.5,3
573000,16.5,3
1172000,16.7,4
1195000,16.7,5
933000,16.7,3
,6.8,3
630000,6.8,2
810000,4.6,2
536000,4.6,2
,25.5,4
490000,27.2,3
925000,6.3,2
870000,6.3,3
1017000,6.3,3
1220000,6.3,4
920000,6.3,2
830000,3,2
,7.5,1
780000,10.4,4
