TARGET,AMT_INCOME_TOTAL,AMT_CREDIT
0,54000,101880
0,180000,508495.5
0,261000,503676
0,135000,189621
0,189000,1054935
1,202500,1210500
0,112500,808650
0,153000,380533.5
0,112500,337500
0,315000,657886.5
0,157500,225000
0,112500,224136
0,382500,585000
0,112500,101880
0,157500,587623.5
0,315000,927571.5
0,135000,533668.5
0,90000,225000
0,135000,343800
0,81000,360000
0,135000,787131
1,112500,1002456
0,112500,327024
0,63000,47970
0,283500,1149210
0,90000,1035832.5
0,216000,485640
1,180000,948582
0,202500,1264428
0,202500,970380
0,135000,219042
0,157500,225000
0,126000,1008117
0,90000,900000
0,67500,508495.5
0,157500,450000
0,81000,81000
0,67500,312768
0,225000,1574532
0,180000,640080
0,180000,1350000
0,112500,143910
0,157500,862560
0,117000,474048
1,135000,203760
0,67500,765000
0,112500,888840
0,157500,450000
1,94500,675000
0,450000,2125953
0,157500,592560
0,157500,1024740
0,247500,407745
0,112500,1215000
0,180000,540000
0,202500,728460
0,90000,239850
0,67500,381528
0,112500,900000
0,112500,755190
0,202500,518562
0,225000,1002870
0,121500,755190
0,315000,1546020
0,135000,135000
0,238500,834048
0,382500,720000
0,112500,675000
0,180000,640080
0,135000,545040
0,112500,886500
0,315000,675000
0,67500,900000
0,195750,704844
0,99000,942300
0,112500,664299
0,67500,90000
0,225000,474048
0,247500,747000
0,180000,675000
0,315000,1024740
0,157500,635962.5
1,81000,521280
0,94500,74182.5
0,157500,1097676
0,67500,180000
0,112500,337500
0,94500,284400
0,202500,1029681
0,99000,104256
0,157500,1185282
0,135000,180000
0,135000,254700
0,112500,454500
0,90000,900000
0,225000,454500
0,270000,1546020
0,162000,284400
0,135000,206271
1,202500,755190
0,121500,370629
0,112500,405000
0,225000,450000
0,67500,900000
0,225000,679500
0,157500,1125000
0,135000,414792
0,180000,945000
1,540000,485640
0,173250,765261
0,121500,533668.5
1,126000,324216
0,202500,720000
0,90000,225000
0,90000,207396
0,117000,1061599.5
0,270000,545040
0,117000,450000
0,157500,531706.5
0,182250,900000
0,135000,225000
0,166500,225000
0,157500,562500
0,157500,1024740
1,166500,152820
0,112500,819432
0,67500,450000
1,112500,550980
0,180000,1096020
0,135000,315000
0,247500,270000
0,90000,500211
0,193500,715095
0,124200,538704
0,112500,157500
0,157500,824242.5
0,180000,450000
0,135000,781920
0,135000,755190
0,225000,854896.5
0,202500,247500
0,400500,1125000
0,360000,754740
0,202500,266652
0,135000,352044
0,144000,585000
0,202500,350581.5
0,225000,270000
1,180000,436032
0,90000,640458
0,54000,188685
0,103500,848745
1,211500,835380
0,207000,1006920
0,67500,203760
0,112500,350676
0,157500,135000
0,90000,284400
0,135000,450000
0,135000,299772
0,123300,497520
0,202500,640080
0,112500,679500
0,139500,135000
1,135000,312768
0,112500,1006920
0,90000,263686.5
0,315000,840951
0,38700,143910
1,315000,1165500
0,135000,490536
0,112500,835380
0,90000,760225.5
0,112500,495985.5
0,225000,1113840
0,144000,517536
0,315000,1288350
0,180000,679500
0,135000,679500
0,180000,180000
0,99000,545040
0,135000,1546020
0,99000,746271
0,135000,1661418
0,315000,450000
1,157500,225000
0,157500,180000
0,90000,202500
0,130500,548770.5
0,337500,1102171.5
0,112500,508495.5
0,180000,382500
0,144000,603000
0,157500,1125000
0,202500,405000
0,157500,1042164
0,225000,670500
0,328500,1190340
0,225000,675000
0,63000,78192
0,135000,193572
0,90000,314100
0,103500,545040
0,90000,1256400
0,157500,288562.5
0,112500,337500
0,121500,909000
0,202500,675000
0,225000,900000
0,90000,161730
0,225000,549000
1,144000,314100
0,252000,314100
1,99000,180000
0,157500,485640
0,202500,1078200
0,90000,463284
0,67500,203760
0,76500,545040
0,157500,284400
0,180000,540000
0,180000,1129500
0,132075,153000
0,225000,247500
0,360000,1757466
0,135000,518562
0,126000,552555
0,522000,746280
0,99000,360000
0,180000,450000
0,54000,326439
0,112500,180000
0,202500,781920
0,180000,729000
0,67500,1180341
0,450000,900000
0,135000,900000
0,292500,1288350
1,360000,343800
0,189000,1288350
0,135000,225000
0,180000,454500
0,720000,1350000
0,315000,1606036.5
0,180000,180000
0,67500,247275
0,180000,1288350
0,180000,450000
0,112500,254700
1,112500,314100
0,112500,337500
0,67500,215640
0,90000,675000
0,121500,360000
0,49500,148365
0,67500,239418
0,168930,583569
0,112500,746703
0,166500,315000
0,225000,270000
0,225000,790830
0,81000,417024
0,112500,942300
0,171000,1256400
0,72000,193500
0,67500,379237.5
0,135000,459000
0,99000,342000
0,135000,701721
0,112500,640080
0,405000,900000
0,135000,528633
0,45000,269550
0,72000,91647
0,112500,900000
0,112500,225000
1,225000,729792
0,135000,582804
0,157500,553581
0,135000,270000
0,112500,518562
0,112500,260640
0,76500,397881
1,202500,579942
0,126000,315000
0,112500,1133748
0,169137,675000
1,180000,521280
0,180000,1024740
0,112500,297130.5
0,112500,1546020
1,81000,808650
0,202500,305955
0,67500,180000
0,90000,526491
0,180000,545040
0,135000,536917.5
0,135000,298512
0,180000,104256
0,103500,742500
0,202500,539100
0,202500,297000
0,112500,268659
0,99000,647046
0,45000,254700
0,310500,900000
0,81000,203760
0,135000,573628.5
0,135000,495000
0,234000,225000
0,180000,900000
0,121500,1125000
0,225000,450000
0,90000,808650
0,202500,540000
1,270000,180000
0,270000,733315.5
0,135000,397881
0,247500,805536
0,135000,526491
0,157500,675000
0,121500,176328
0,292500,751500
1,135000,148500
0,450000,298512
0,202500,360000
0,315000,521280
0,94500,562500
0,180000,180000
0,202500,1125000
0,54000,81504
0,157500,363190.5
0,225000,544491
0,76500,254700
0,337500,585000
0,112500,180000
1,46948.5,269550
0,112500,135000
0,180000,1288350
0,171000,301464
0,135000,1256400
0,315000,1024636.5
0,225000,127350
1,175500,550980
0,202500,854901
0,135000,582228
0,135000,525735
0,67500,135000
0,225000,1479541.5
0,130500,505665
1,153000,432661.5
0,112500,339241.5
0,157500,310500
0,130500,450000
0,90000,450000
0,135000,521280
0,270000,531706.5
0,67500,1084383
0,135000,455040
0,81000,573628.5
0,247500,997335
0,112500,886176
0,135000,225000
0,225000,971280
0,135000,189351
0,315000,370629
0,90000,225000
0,180000,1116000
0,112500,659610
0,270000,285723
1,87750,454500
0,135000,450000
0,180000,746271
0,180000,1381113
0,126000,269550
0,112500,199008
0,67050,314100
0,135000,533668.5
0,135000,585000
0,67500,797557.5
0,103500,286704
0,156600,450000
0,126000,425133
1,180000,972000
0,135000,675000
0,225000,948582
0,112500,598486.5
0,360000,855000
0,157500,1012500
0,247500,675000
0,292500,746280
0,157500,629325
0,315000,751500
0,292500,427500
0,112500,180000
0,315000,1575000
0,112500,436032
0,202500,1350000
0,180000,225000
0,36000,900000
0,90000,536917.5
1,99000,810000
0,180000,271066.5
0,112500,270000
0,292500,336370.5
0,135000,1281672
0,90000,203760
0,180000,253737
0,270000,485640
0,135000,593010
0,157500,1051245
0,112500,382500
0,180000,156384
1,202500,479637
0,112500,971280
0,85500,454500
0,810000,661500
0,81000,227520
0,202500,1132573.5
0,315000,323388
0,90000,180000
0,247891.5,2254500
0,225000,382500
0,225000,1051789.5
0,180000,675000
0,67500,508495.5
1,225000,576072
0,67500,95940
0,135000,508495.5
0,180000,1506816
0,202500,1223010
0,89100,560664
0,270000,942300
0,211500,1515415.5
0,157500,640080
1,135000,645048
0,180000,557770.5
0,157500,225000
0,67500,945000
0,247500,781920
0,180000,152820
0,135000,229230
0,135000,291384
0,58500,277969.5
0,315000,1078200
0,67500,906228
1,81000,450000
0,135000,50940
0,236799,1350000
0,76500,187704
0,180000,814041
0,112500,325377
0,225000,1467612
0,67500,76410
0,180000,639000
0,121500,178290
0,112500,787131
0,157500,239850
0,90000,225000
0,202500,1080000
0,67500,511249.5
0,135000,990000
0,135000,202500
0,126000,391090.5
1,112500,152820
1,90000,390447
0,270000,1080000
0,126000,900000
0,103500,544491
0,157500,516069
0,180000,1185120
0,157500,760225.5
0,135000,505642.5
0,202500,685012.5
0,135000,900000
0,96453,152820
0,76500,722394
0,67500,107820
0,225000,1288350
0,157500,180000
1,90000,675000
0,225000,152820
0,157500,1078200
0,108000,431280
0,405000,810000
0,198000,735579
0,90000,545040
1,112500,864000
0,180000,247500
0,135000,247500
1,202500,1170000
0,135000,900000
0,126000,90000
0,157500,1125000
0,630000,1257255
0,157500,1125000
0,247500,363190.5
0,180000,540000
0,157500,490495.5
0,126000,566055
0,292500,1350000
0,180000,270000
0,346500,706410
0,247500,760131
0,202500,972000
1,292500,835380
0,135000,343800
0,67500,102384
0,157500,545040
0,112500,495000
1,112500,417024
0,112500,180000
0,364500,1963494
0,180000,450000
0,112500,495000
0,270000,472500
0,72450,107820
0,112500,521280
1,202500,450000
1,112500,337500
0,90000,142200
0,103500,142632
0,144000,323194.5
0,180000,472500
0,130500,381096
0,337500,776583
0,202500,450000
0,157500,414792
0,225000,270000
0,94500,91692
0,140850,579195
0,337500,398016
0,144000,152820
0,148500,1005120
0,166500,728460
0,112500,585000
0,90000,704844
0,76995,810000
0,252000,1093500
0,180000,562491
0,211500,1078200
0,270000,1293502.5
0,180000,848745
0,157500,657000
0,67500,269550
0,112500,101880
0,112500,225000
0,117000,197820
0,135000,101880
0,202500,247500
0,51750,229230
0,81000,445086
0,126000,518562
0,225000,450000
1,112500,107820
0,189000,604413
0,283500,675000
0,90000,657702
0,193500,427869
0,225000,543037.5
0,63000,302206.5
0,90000,754740
0,180000,755190
0,315000,779688
0,135000,808650
0,112500,104256
0,234823.5,647046
0,67500,508495.5
0,112500,271066.5
0,225000,1006920
0,157500,270000
0,112500,302206.5
0,225000,630000
0,180000,405000
0,166500,745119
0,166500,130320
0,292500,900000
0,157500,508495.5
0,72000,180000
0,112500,161730
0,180000,582768
1,247500,675000
0,360000,810000
0,135000,619965
0,67500,71955
0,270000,1350000
0,450000,1078200
0,157500,477175.5
0,270000,1113840
0,144000,900000
0,225000,948582
0,121500,474048
0,270000,545040
0,112500,381528
0,76500,625536
0,90000,270000
0,135000,106974
0,90000,814500
0,216000,508495.5
0,72000,327024
0,157500,1260702
0,112500,237204
0,112500,1125000
0,112500,252000
0,202500,254700
0,270000,540000
0,225000,495000
0,135000,1125000
0,180000,405000
0,90000,133528.5
0,207000,906228
0,157500,180000
0,180000,1076247
0,90000,728460
0,301500,900000
0,180000,508495.5
0,157500,450000
0,225000,730017
0,90000,450000
0,112500,1288350
0,247500,1252278
0,90000,1006920
0,270000,855000
0,292500,1100709
0,360000,2250000
0,225000,1288350
0,202500,942300
0,157500,1125000
1,675000,270000
0,157500,2013840
0,135000,254700
0,189000,270000
0,144000,753840
0,67500,225000
0,76500,254700
0,202500,697500
0,225000,314100
0,202500,1133748
0,157500,1436850
0,139500,640080
0,112500,450000
1,175500,385749
0,202500,545040
1,135000,447768
0,126000,273636
0,360000,203760
0,157500,943425
0,67500,135000
0,126000,339241.5
1,90000,450000
0,202500,348264
0,225000,191880
0,180000,344043
0,292500,450000
0,157500,326664
0,166500,781920
0,157500,454500
0,157500,1293502.5
0,360000,225000
0,115200,808650
0,81000,621000
0,76500,225000
0,135000,364896
0,76500,808650
0,126000,180000
0,198000,450000
0,189000,225000
0,90000,269550
0,90000,521280
0,157500,288873
0,67500,143910
0,112500,389484
0,126000,315000
0,112500,225000
0,202500,913180.5
0,112500,703728
0,90000,416052
0,117000,420718.5
0,180000,225000
0,135000,168102
0,292500,729000
0,135000,331920
0,1080000,180000
0,112500,1080000
0,157500,479974.5
1,76500,119925
0,180000,135000
0,135000,315000
0,90000,202500
0,112500,454500
0,112500,573408
0,202500,1125000
0,202500,948582
0,157500,1046142
0,135000,208512
0,157500,157500
0,135000,90000
0,225000,360000
0,225000,269550
0,126000,315000
0,135000,582228
0,112500,495000
0,121500,940500
0,247500,284256
0,112500,95940
0,405000,900000
1,121500,270000
0,90000,675000
0,337500,1635795
0,202500,1213227
0,112500,485190
0,180000,1057266
0,225000,1102171.5
1,157500,225000
0,90000,180000
1,135000,450000
0,112500,302076
0,99000,358213.5
0,67500,180000
0,180000,805536
0,135000,405000
0,202500,859500
0,180000,1540588.5
0,382500,2159842.5
0,225000,1258650
0,126000,177768
0,180000,1078200
0,238500,1124478
0,292500,1557103.5
0,202500,830214
0,126000,450000
0,112500,472500
0,270000,805072.5
0,54000,67500
0,81000,265500
0,202500,675000
0,157500,1557103.5
0,112500,90000
0,144000,630000
0,180000,760225.5
0,157500,297040.5
0,157500,343377
0,225000,500211
0,90000,1185282
0,450000,1965226.5
0,67500,1133748
0,630000,562500
0,76500,161730
0,315000,1774039.5
1,112500,1061599.5
0,234135,1288350
0,76500,71955
0,135000,284400
0,135000,1006920
0,171000,371862
0,270000,640080
0,112500,536917.5
0,157500,545040
0,90000,900000
0,292500,1024740
0,247500,1223010
0,202500,599116.5
0,405000,1078200
0,157500,437877
0,720000,1125000
0,292500,777024
1,220500,450000
0,67500,140746.5
0,112500,640080
0,180000,1096020
0,112500,225000
0,247500,1800000
0,180000,1609272
0,225000,1180341
0,112500,450000
1,202500,675000
0,270000,1125000
1,135000,284400
0,157500,521280
0,135000,284400
0,157500,225000
0,99000,254700
0,171000,526500
1,157500,451804.5
0,292500,1224198
0,139500,640080
0,90000,562491
0,153000,573628.5
0,202500,269982
0,315000,225000
0,157500,1622691
0,81000,225000
0,157500,675000
0,130500,284400
0,157500,675000
0,202500,824823
0,216000,755190
0,135000,765261
0,90000,450346.5
0,126000,180000
0,135000,662026.5
0,72000,755190
0,202500,270000
0,450000,675000
0,90000,508495.5
0,157500,734773.5
0,81000,436032
0,292500,1256400
0,270000,1712727
0,157500,295254
0,315000,675000
0,315000,1755000
0,54000,922500
0,135000,1288350
0,117000,258709.5
0,139500,382500
0,180000,1288350
0,67500,135000
0,90000,254700
0,90000,254700
0,67500,900000
0,67500,225000
1,697500,450000
0,180000,313438.5
0,292500,454500
0,360000,2013840
0,247500,677664
0,360000,850500
0,247500,454500
0,225000,314055
0,225000,273636
0,112500,1206954
0,270000,810000
0,315000,808650
0,54000,315000
0,166500,1075500
0,130500,405000
0,202500,199080
0,90000,1078200
